Compound ID,Observed Value,ISIDA Predicted Value,CDK Predicted Value,Consensus Prediction,Error from Consensus,Avg of Observed,Error from Avg,Error from ISIDA,Error from CDK
79345,6.92,7.333,7.441,7.387,0.467,7.29,0.37,0.413,0.521
37764253,7.09,7.222,6.988,7.105,0.015,7.29,0.2,0.132,0.102
1918167,7.21,7.281,6.887,7.084,0.126,7.29,0.08,0.071,0.323
121776338,8.49,7.279,7.229,7.254,1.236,7.29,1.2,1.211,1.261
55335063,6.71,6.997,7.28,7.1385,0.4285,7.29,0.58,0.287,0.57
140578,6.82,7.217,7.249,7.233,0.413,7.29,0.47,0.397,0.429
28249776,7.41,7.369,7.289,7.329,0.081,7.29,0.12,0.041,0.121
598776,7.47,6.976,7.3,7.138,0.332,7.29,0.18,0.494,0.17
1929777,8.31,7.288,7.274,7.281,1.029,7.29,1.02,1.022,1.036
88744,7.14,7.488,7.561,7.5245,0.3845,7.29,0.15,0.348,0.421
116714466,7.65,7.127,7.897,7.512,0.138,7.29,0.36,0.523,0.247
